,timestep,positions,velocities,fuel,rewards,actions
52,52,4.916561966695535,-0.2803259698322769,0.34757866083004874,-0.6651028096928537,-0.7626695066595941
53,53,4.923599196731973,0.1407446007287625,0.34728602278921605,-0.07982628418572248,-0.05852760816653699
54,54,4.930601367014483,0.14004340565020082,0.3451093723614311,-0.2589109163765755,-0.43533008555699265
55,55,4.918151931520479,-0.24898870988007335,0.34120255919235964,-0.6923756340007253,-0.7813626338142903
56,56,4.91394433745999,-0.08415188120979669,0.33976764700785067,-0.16841458163010445,-0.28698243690179726
57,57,4.918721650939238,0.09554626958497789,0.33840348328024417,-0.15571605608945438,-0.2728327455213039
58,58,4.92033535011268,0.03227398346883864,0.3359625271237394,-0.3179953282064556,-0.4881912313009477
59,59,4.916655361718084,-0.07359976789190736,0.3333358876913169,-0.35931402660018924,-0.5253278864845018
60,60,4.9120558502545855,-0.09199022926997788,0.3311002602732684,-0.2878653478386186,-0.4471254836096955
61,61,4.903609599761968,-0.16892500985233816,0.32860949855214017,-0.34454615829554125,-0.49815234422564914
62,62,4.898574216166668,-0.10070767190601235,0.3267633634753051,-0.23775437271016825,-0.3692270153670177
63,63,4.9010220136909854,0.04895595048636381,0.3252805382171349,-0.18692881615972015,-0.29656505163404806
64,64,4.901019035349468,-5.956683034966104e-05,0.32292655751956684,-0.3206299696314499,-0.4707961395136094
65,65,4.900892947175183,-0.0025217634857000685,0.3207805357137257,-0.28332343647063674,-0.42920436116822036
66,66,4.916132606710422,0.3047931907047585,0.31999876916239856,-0.10831375092053683,-0.15635331026543203
67,67,4.9292253778545145,0.26185542288185604,0.317684179672805,-0.285067602358967,-0.4629178979187147
68,68,4.945531258714283,0.32611761719536086,0.3158415986391574,-0.19027293590802793,-0.36851620672951513
69,69,4.945208495204107,-0.006455270203506502,0.31226844729323266,-0.5654879264312463,-0.7146302691849495
70,70,4.938865689710064,-0.12685610988086898,0.3096232000494939,-0.3410276295102349,-0.5290494487477507
71,71,4.919665895188561,-0.38399589043005666,0.3063873395500304,-0.4991658316909636,-0.6471720998926981
72,72,4.904477872889276,-0.3037604459856859,0.30461971987980935,-0.22050129905281993,-0.35352393404421195
73,73,4.896809906324767,-0.1533593312901848,0.3031610721846153,-0.18829621762302579,-0.2917295390388043
74,74,4.893749378741534,-0.061210551664675525,0.3014545984826114,-0.22273272108370373,-0.34129474040078256
75,75,4.910764403134749,0.3403004878643001,0.3010920262559913,-0.09449394164590103,-0.07251444532401854
76,76,4.923376182677732,0.2522355908596615,0.29861655816875343,-0.32174150735959295,-0.49509361744757396
77,77,4.9277183454179125,0.08684325480361998,0.2958102778171637,-0.3872900310508326,-0.5612560703179478
78,78,4.93400853502108,0.1258037920633509,0.29388654951917786,-0.21402068755777662,-0.3847456595971641
79,79,4.940143741481999,0.12270412921838407,0.2917851681451027,-0.23648840569040047,-0.4202762748150314
80,80,4.943782554980866,0.07277626997734571,0.28948589837006633,-0.2676831049549634,-0.4598539550072715
81,81,4.9583440008749555,0.2912289178817883,0.288340220140267,-0.09415914337449137,-0.22913564595987002
82,82,4.960664402638976,0.046408035280408516,0.28521562614820123,-0.4298591019711589,-0.6249187984131497
83,83,4.955723423123495,-0.09881959030960766,0.28251918702504686,-0.3351079346716048,-0.5392878246308738
84,84,4.946130803047266,-0.19185240152458544,0.2800484399709754,-0.2980528371608509,-0.4941494108142972
85,85,4.923181392993573,-0.45898820107385246,0.27684174710896275,-0.48813377145774595,-0.6413385724025331
86,86,4.927270589326739,0.08178392666331097,0.2766132381097764,-0.07481806518162742,0.04570179983727099
87,87,4.918795871067733,-0.16949436518011352,0.27348774784085095,-0.47195170577817325,-0.6250980537850891
88,88,4.927295791146819,0.1699984015817208,0.27286661627947667,-0.08813638551458984,-0.12422631227485176
89,89,4.9311765591036165,0.07761535913594099,0.27042300057717417,-0.30767374891795246,-0.48872314046049525
90,90,4.92877979394738,-0.047935303124727116,0.26784244779706146,-0.3375903120905137,-0.5161105560225386
91,91,4.916933034246828,-0.23693519401105362,0.264998170779336,-0.4066634358956143,-0.5688554035450856
92,92,4.8988934048340065,-0.3607925882564192,0.2624312588165035,-0.3646680761633054,-0.5133823925665078
93,93,4.895682415274441,-0.06421979119129978,0.2616330308120916,-0.12980430260665268,-0.15964560088237337
94,94,4.893816871123843,-0.037310883011974855,0.25970882307594106,-0.2542861453506201,-0.38484154723010694
95,95,4.89948564415671,0.11337546065733684,0.25830648656953054,-0.17917626293175515,-0.2804673012821009
96,96,4.894071933748417,-0.10827420816585506,0.2553515655043418,-0.45519040631143315,-0.590984213037751
97,97,4.889763542504794,-0.08616782487245062,0.2534162639981004,-0.2600521342976134,-0.387060301248278
98,98,4.904438141544646,0.2934919807970369,0.2529756330237621,-0.10332808467720854,-0.08812619486767044
99,99,4.914958498963685,0.21040714838076957,0.250612221806469,-0.30847000431738325,-0.47268224345861376
